geoid,latitude,longitude,latlong
481130076052,32.886901,-96.806496,"32.8869, -96.8065"
481130077001,32.876721,-96.791192,"32.8767, -96.7912"
481130077002,32.867086,-96.799448,"32.8671, -96.7994"
481130077003,32.87424,-96.797511,"32.8742, -96.7975"
481130077004,32.869672,-96.791367,"32.8697, -96.7914"
481130078011,32.871088,-96.784453,"32.8711, -96.7845"
481130078012,32.876243,-96.782133,"32.8762, -96.7821"
481130078041,32.912836,-96.74888,"32.9128, -96.7489"
481130078042,32.919139,-96.757239,"32.9191, -96.7572"
481130078043,32.91343,-96.76138,"32.9134, -96.7614"
481130078044,32.91633,-96.748501,"32.9163, -96.7485"
481130078051,32.905809,-96.755641,"32.9058, -96.7556"
481130078052,32.898203,-96.759777,"32.8982, -96.7598"
481130078053,32.90036,-96.754326,"32.9004, -96.7543"
481130078091,32.859143,-96.747789,"32.8591, -96.7478"
481130078092,32.857977,-96.73631,"32.858, -96.7363"
481130078101,32.9117627,-96.7410578,"32.9118, -96.7411"
481130078102,32.907648,-96.741321,"32.9076, -96.7413"
481130078103,32.904028,-96.74363,"32.904, -96.7436"
481130078104,32.904739,-96.733072,"32.9047, -96.7331"
481130078111,32.902787,-96.72653,"32.9028, -96.7265"
481130078112,32.901045,-96.723088,"32.901, -96.7231"
481130078113,32.896904,-96.722625,"32.8969, -96.7226"
481130078114,32.898062,-96.725837,"32.8981, -96.7258"
481130078121,32.89752,-96.745303,"32.8975, -96.7453"
481130078122,32.886392,-96.743896,"32.8864, -96.7439"
481130078151,32.874164,-96.758611,"32.8742, -96.7586"
481130078152,32.877867,-96.757902,"32.8779, -96.7579"
481130078153,32.877157,-96.755464,"32.8772, -96.7555"
481130078181,32.866364,-96.756131,"32.8664, -96.7561"
481130078182,32.865161,-96.751876,"32.8652, -96.7519"
481130078183,32.869571,-96.760732,"32.8696, -96.7607"
481130078184,32.868517,-96.758577,"32.8685, -96.7586"
481130078191,32.86524,-96.759074,"32.8652, -96.7591"
481130078192,32.868241,-96.762957,"32.8682, -96.763"
481130078201,32.867343,-96.747237,"32.8673, -96.7472"
481130078202,32.869501,-96.756592,"32.8695, -96.7566"
481130078203,32.867761,-96.752252,"32.8678, -96.7523"
481130078211,32.872404,-96.755305,"32.8724, -96.7553"
481130078212,32.873271,-96.756531,"32.8733, -96.7565"
481130078213,32.871719,-96.753424,"32.8717, -96.7534"
481130078221,32.86976,-96.768127,"32.8698, -96.7681"
481130078222,32.887141,-96.766188,"32.8871, -96.7662"
481130078231,32.892067,-96.76691,"32.8921, -96.7669"
481130078232,32.887712,-96.760514,"32.8877, -96.7605"
481130078233,32.888922,-96.763847,"32.8889, -96.7638"
481130078241,32.883019,-96.738056,"32.883, -96.7381"
481130078242,32.874723,-96.737875,"32.8747, -96.7379"
481130078251,32.897618,-96.734205,"32.8976, -96.7342"
481130078252,32.889994,-96.73484,"32.89, -96.7348"
481130078253,32.89218,-96.729957,"32.8922, -96.73"
481130078254,32.889845,-96.738988,"32.8898, -96.739"
481130078255,32.893332,-96.727255,"32.8933, -96.7273"
481130078261,32.871615,-96.73432,"32.8716, -96.7343"
481130078271,32.890506,-96.728085,"32.8905, -96.7281"
481130078272,32.882648,-96.732668,"32.8826, -96.7327"
481130078273,32.884426,-96.731787,"32.8844, -96.7318"
481130079021,32.85006,-96.736615,"32.8501, -96.7366"
481130079022,32.851328,-96.744619,"32.8513, -96.7446"
481130079023,32.842052,-96.746853,"32.8421, -96.7469"
481130079024,32.854093,-96.749422,"32.8541, -96.7494"
481130079025,32.848008,-96.748995,"32.848, -96.749"
481130079031,32.853654,-96.755648,"32.8537, -96.7556"
481130079032,32.846945,-96.757233,"32.8469, -96.7572"
481130079061,32.861535,-96.779336,"32.8615, -96.7793"
481130079062,32.858153,-96.77387,"32.8582, -96.7739"
481130079091,32.852304,-96.762347,"32.8523, -96.7623"
481130079092,32.854248,-96.766047,"32.8542, -96.766"
481130079101,32.856708,-96.761113,"32.8567, -96.7611"
481130079102,32.855032,-96.76322,"32.855, -96.7632"
481130079111,32.862745,-96.76158,"32.8627, -96.7616"
481130079112,32.860011,-96.757643,"32.86, -96.7576"
481130079121,32.862911,-96.765421,"32.8629, -96.7654"
481130079122,32.859009,-96.766461,"32.859, -96.7665"
481130079131,32.848824,-96.76278,"32.8488, -96.7628"
481130079132,32.847401,-96.766043,"32.8474, -96.766"
481130079133,32.850008,-96.765983,"32.85, -96.766"
481130079141,32.843078,-96.763958,"32.8431, -96.764"
481130079142,32.845119,-96.764336,"32.8451, -96.7643"
481130080001,32.828688,-96.73826,"32.8287, -96.7383"
481130080002,32.838083,-96.739486,"32.8381, -96.7395"
481130080003,32.834415,-96.747408,"32.8344, -96.7474"
481130080004,32.83633,-96.727582,"32.8363, -96.7276"
481130080005,32.823561,-96.744512,"32.8236, -96.7445"
481130080006,32.827261,-96.748923,"32.8273, -96.7489"
481130081001,32.830099,-96.70999,"32.8301, -96.71"
481130081002,32.826861,-96.701209,"32.8269, -96.7012"
481130081003,32.81852,-96.708413,"32.8185, -96.7084"
481130081004,32.8111944,-96.7198625,"32.8112, -96.7199"
481130081004a,32.808535,-96.722987,"32.8085, -96.723"
481130081004b,32.812346,-96.717527,"32.8123, -96.7175"
481130081005,32.823411,-96.708872,"32.8234, -96.7089"
481130082001,32.846349,-96.699539,"32.8463, -96.6995"
481130082002,32.842631,-96.695633,"32.8426, -96.6956"
481130082003,32.834833,-96.698054,"32.8348, -96.6981"
481130082004,32.838875,-96.691231,"32.8389, -96.6912"
481130084001,32.772064,-96.721157,"32.7721, -96.7212"
