,origin,travel_time
785,481130166071,1916
786,481130166072,1826
787,481130166073,1755
788,481130167011,1042
789,481130167012,1373
790,481130167013,1361
791,481130167014,1367
792,481130167031,878
793,481130176051,2179
794,481130176052,2103
795,481130185031,1825
796,481130185032,1720
797,481130185051,1384
798,481130185052,1433
799,481130185061,1650
800,481130185062,1582
801,481130190161,1504
802,481130190162,1579
803,481130190163,2095
804,481130190181,1315
805,481130190182,1513
806,481130190183,1232
807,481130190191,1492
808,481130190192,1049
809,481130190193a,1236
810,481130190193b,1487
811,481130190194,1624
812,481130190341,1456
813,481130190342,1701
814,481130190351,1697
815,481130190352,1417
816,481130190353,1878
817,481130192081,690
818,481130192082,444
819,481130192083,806
820,481130192121,825
821,481130192122,543
822,481130192123,923
823,481130192131,719
824,481130192132,765
825,481130202001,3135
826,481130202002,1892
827,481130202003,1847
828,481130203001,890
829,481130203002,1194
830,481130203003,1016
831,481130204001,1032
832,481130204002,1053
833,481130204003,1160
834,481130205001,1042
835,481130205002,1103
836,481130206001,2665
837,481130206002,2766
838,481210216161,1873
839,481210216163,1735
840,481210216341,1648
841,481210216342,1899
842,481210216343,1631
843,481210216351,2130
844,481210216352,2160
845,481210216353,2283
846,481210216361,2358
847,481210216362,2256
848,481210216363,2227
849,481210216364,1788
850,481210216365,2282
851,481210216371,1503
852,481210216372,1877
853,481210216373,1601
854,481210216381,1337
855,481210216382,1524
