"","origin","Jobs","workers","Wieghted_Avg","Job_Perct"
"736",4.8113e+11,4226,555,2.553174118,0.00385522
"737",4.8113e+11,810,2883,2.542070664,0.003838454
"738",4.8113e+11,2852,790,2.45264431,0.003703423
"739",4.8113e+11,3190,706,2.45162105,0.003701878
"740",4.8113e+11,1723.5,1301,2.440880635,0.00368566
"741",4.8113e+11,1809,1239,2.439876425,0.003684144
"742",4.8113e+11,2190.5,1022,2.436980818,0.003679772
"743",4.8113e+11,2983.5,745,2.419581596,0.003653499
"744",4.8113e+11,2271,973,2.405403464,0.003632091
"745",4.8113e+11,1172,1863,2.376831662,0.003588948
"746",4.8113e+11,3876.5,562,2.371559698,0.003580988
"747",4.8113e+11,3224,672,2.358426053,0.003561156
"748",4.8113e+11,928,2321,2.344666477,0.00354038
"749",4.8113e+11,1061,2014,2.326123708,0.003512381
"750",4.8113e+11,1786.5,1193,2.320071781,0.003503242
"751",4.8113e+11,3054,694,2.307206469,0.003483816
"752",4.8113e+11,2078,1017,2.300511739,0.003473707
"753",4.8113e+11,2064,1019,2.289506255,0.003457089
"754",4.8113e+11,1783,1179,2.288353456,0.003455349
"755",4.8113e+11,933.5,2245,2.281332698,0.003444747
"756",4.8113e+11,760,2722,2.251954807,0.003400388
"757",4.8113e+11,1462,1390,2.212178313,0.003340326
"758",4.8113e+11,2228,907,2.199785986,0.003321614
"759",4.8113e+11,2142,916,2.135860567,0.003225089
"760",4.8113e+11,2048,932,2.077800384,0.003137419
"761",4.8113e+11,855.5,2222,2.069293178,0.003124574
"762",4.8113e+11,1786.5,1064,2.069200649,0.003124434
"763",4.8113e+11,898,2089,2.042079917,0.003083483
"764",4.8113e+11,1609,1164,2.03876412,0.003078476
"765",4.8113e+11,2302,805,2.017247366,0.003045986
"766",4.8113e+11,1839,1003,2.00789325,0.003031862
"767",4.8113e+11,2033,887,1.962993927,0.002964065
"768",4.8113e+11,1185,1511,1.949129848,0.002943131
"769",4.8113e+11,3905,457,1.942652833,0.00293335
"770",4.8113e+11,1599,1104,1.921655329,0.002901645
"771",4.8113e+11,3598.5,480,1.8802721,0.002839157
"772",4.8113e+11,2243,764,1.865437013,0.002816757
"773",4.8113e+11,5683.5,301,1.86226001,0.00281196
"774",4.8113e+11,2094,806,1.83725601,0.002774204
