,year,depart_time,origin,destination,travel_time
1068,2018,8:0:00,481130002021,481130015032,980
1069,2018,8:0:00,481130002021,481130015033,1024
1070,2018,8:0:00,481130002021,481130015041,643
1071,2018,8:0:00,481130002021,481130015042,774
1072,2018,8:0:00,481130002021,481130015043,976
1073,2018,8:0:00,481130002021,481130016001,1476
1074,2018,8:0:00,481130002021,481130079133,1225
1075,2018,8:0:00,481130002021,481130079141,927
1076,2018,8:0:00,481130002021,481130079142,937
1079,2018,8:0:00,481130002021,481130080003,1649
1080,2018,8:0:00,481130002021,481130080005,1727
1081,2018,8:0:00,481130002021,481130080006,1390
1082,2018,8:0:00,481130002021,481130017011,1674
1086,2018,8:0:00,481130002021,481130016002,1684
1104,2018,8:0:00,481130002021,481130022001,1152
1105,2018,8:0:00,481130002021,481130022002,1635
1106,2018,8:0:00,481130002021,481130024001,1696
1113,2018,8:0:00,481130002021,481130031011,1532
1114,2018,8:0:00,481130002021,481130031012,1787
1196,2018,8:0:00,481130002021,481130079132,1001
1201,2018,8:0:00,481130002021,481130079032,1056
1204,2018,8:0:00,481130002021,481130079091,1386
1205,2018,8:0:00,481130002021,481130079092,1543
1207,2018,8:0:00,481130002021,481130079102,1578
1210,2018,8:0:00,481130002021,481130079121,1552
1211,2018,8:0:00,481130002021,481130079122,1428
1212,2018,8:0:00,481130002021,481130079131,1076
1261,2018,8:0:00,481130002022,481130001002,1640
1262,2018,8:0:00,481130002022,481130001003,1343
1263,2018,8:0:00,481130002022,481130002011,665
1264,2018,8:0:00,481130002022,481130002012,894
1265,2018,8:0:00,481130002022,481130002013,824
1266,2018,8:0:00,481130002022,481130002021,1019
1267,2018,8:0:00,481130002022,481130002022,12
1268,2018,8:0:00,481130002022,481130002023,603
1269,2018,8:0:00,481130002022,481130003001,1055
1270,2018,8:0:00,481130002022,481130009004,1554
1271,2018,8:0:00,481130002022,481130003002,625
1272,2018,8:0:00,481130002022,481130003003,1302
1287,2018,8:0:00,481130002022,481130007021,1105
1288,2018,8:0:00,481130002022,481130007022,1578
1289,2018,8:0:00,481130002022,481130007023,1590
1290,2018,8:0:00,481130002022,481130008001,1639
1291,2018,8:0:00,481130002022,481130008002,1738
1292,2018,8:0:00,481130002022,481130008003,1493
1293,2018,8:0:00,481130002022,481130008004,1484
1294,2018,8:0:00,481130002022,481130008005,1684
1295,2018,8:0:00,481130002022,481130009001,1381
1296,2018,8:0:00,481130002022,481130009002,1381
1297,2018,8:0:00,481130002022,481130009003,1518
1298,2018,8:0:00,481130002022,481130010011,1095
1299,2018,8:0:00,481130002022,481130010012,1453
1300,2018,8:0:00,481130002022,481130010021,1429
1301,2018,8:0:00,481130002022,481130010022,1381
1302,2018,8:0:00,481130002022,481130011011,803
1303,2018,8:0:00,481130002022,481130011012,802
1304,2018,8:0:00,481130002022,481130011013,900
1315,2018,8:0:00,481130002022,481130011022,893
1316,2018,8:0:00,481130002022,481130011021,858
1317,2018,8:0:00,481130002022,481130193021,1312
1319,2018,8:0:00,481130002022,481130011023,972
1322,2018,8:0:00,481130002022,481130012032,1687
1323,2018,8:0:00,481130002022,481130012041,1571
1325,2018,8:0:00,481130002022,481130013011,1221
1326,2018,8:0:00,481130002022,481130014002,1080
1327,2018,8:0:00,481130002022,481130013012,1034
1328,2018,8:0:00,481130002022,481130013013,981
1329,2018,8:0:00,481130002022,481130013021,1086
1330,2018,8:0:00,481130002022,481130013022,1325
1331,2018,8:0:00,481130002022,481130013023,1385
1332,2018,8:0:00,481130002022,481130014001,1117
1333,2018,8:0:00,481130002022,481130014004,1044
1334,2018,8:0:00,481130002022,481130015021,1565
1335,2018,8:0:00,481130002022,481130014003,986
1336,2018,8:0:00,481130002022,481130015044,1325
1337,2018,8:0:00,481130002022,481130015022,1522
1338,2018,8:0:00,481130002022,481130015023,1273
1339,2018,8:0:00,481130002022,481130015024,1256
1340,2018,8:0:00,481130002022,481130015031,1220
1341,2018,8:0:00,481130002022,481130015032,1296
1342,2018,8:0:00,481130002022,481130015033,1340
1343,2018,8:0:00,481130002022,481130015041,1018
1344,2018,8:0:00,481130002022,481130015042,1090
1345,2018,8:0:00,481130002022,481130015043,1292
1346,2018,8:0:00,481130002022,481130016001,1792
1347,2018,8:0:00,481130002022,481130079133,869
1348,2018,8:0:00,481130002022,481130079141,713
1349,2018,8:0:00,481130002022,481130079142,1027
1350,2018,8:0:00,481130002022,481130080001,1654
1351,2018,8:0:00,481130002022,481130080002,1477
1352,2018,8:0:00,481130002022,481130080003,830
1354,2018,8:0:00,481130002022,481130080005,1201
1355,2018,8:0:00,481130002022,481130080006,800
1366,2018,8:0:00,481130002022,481130024003,1515
1374,2018,8:0:00,481130002022,481130022001,1468
1375,2018,8:0:00,481130002022,481130022002,1745
1376,2018,8:0:00,481130002022,481130024001,1099
1377,2018,8:0:00,481130002022,481130024002,1552
1396,2018,8:0:00,481130002022,481130078091,1695
1399,2018,8:0:00,481130002022,481130078152,1547
1403,2018,8:0:00,481130002022,481130078183,1687
1406,2018,8:0:00,481130002022,481130078192,1445
1407,2018,8:0:00,481130002022,481130078201,1562
1408,2018,8:0:00,481130002022,481130078202,1796
1420,2018,8:0:00,481130002022,481130079023,1062
1425,2018,8:0:00,481130002022,481130079132,1127
1430,2018,8:0:00,481130002022,481130079024,1713
1431,2018,8:0:00,481130002022,481130079025,1476
1432,2018,8:0:00,481130002022,481130079031,1621
1433,2018,8:0:00,481130002022,481130079032,1232
1435,2018,8:0:00,481130002022,481130079062,1440
1436,2018,8:0:00,481130002022,481130079091,1527
1437,2018,8:0:00,481130002022,481130079092,1061
1438,2018,8:0:00,481130002022,481130079101,1417
1439,2018,8:0:00,481130002022,481130079102,1292
1440,2018,8:0:00,481130002022,481130079111,1417
1441,2018,8:0:00,481130002022,481130079112,1605
1442,2018,8:0:00,481130002022,481130079121,1100
1443,2018,8:0:00,481130002022,481130079122,976
1444,2018,8:0:00,481130002022,481130079131,1241
1467,2018,8:0:00,481130002023,481130002011,890
1468,2018,8:0:00,481130002023,481130002012,849
1469,2018,8:0:00,481130002023,481130002013,881
1470,2018,8:0:00,481130002023,481130002021,413
1471,2018,8:0:00,481130002023,481130002022,603
1472,2018,8:0:00,481130002023,481130002023,38
1473,2018,8:0:00,481130002023,481130003001,491
1474,2018,8:0:00,481130002023,481130009004,1428
1475,2018,8:0:00,481130002023,481130003002,1121
1476,2018,8:0:00,481130002023,481130003003,1321
1504,2018,8:0:00,481130002023,481130007021,1722
1505,2018,8:0:00,481130002023,481130007022,1610
1506,2018,8:0:00,481130002023,481130007023,1622
1509,2018,8:0:00,481130002023,481130008003,1775
1510,2018,8:0:00,481130002023,481130008004,1633
1511,2018,8:0:00,481130002023,481130008005,1467
1512,2018,8:0:00,481130002023,481130009001,1783
1513,2018,8:0:00,481130002023,481130009002,1611
1514,2018,8:0:00,481130002023,481130009003,1388
1515,2018,8:0:00,481130002023,481130010011,974
1516,2018,8:0:00,481130002023,481130010012,1267
1517,2018,8:0:00,481130002023,481130010021,1350
1518,2018,8:0:00,481130002023,481130010022,991
1519,2018,8:0:00,481130002023,481130011011,587
1520,2018,8:0:00,481130002023,481130011012,803
1521,2018,8:0:00,481130002023,481130011013,684
1528,2018,8:0:00,481130002023,481130011022,1059
1529,2018,8:0:00,481130002023,481130011021,1412
1530,2018,8:0:00,481130002023,481130193021,1661
1532,2018,8:0:00,481130002023,481130011023,874
1540,2018,8:0:00,481130002023,481130013011,1767
1541,2018,8:0:00,481130002023,481130014002,863
1542,2018,8:0:00,481130002023,481130013012,1580
1543,2018,8:0:00,481130002023,481130013013,1527
1544,2018,8:0:00,481130002023,481130013021,1632
1545,2018,8:0:00,481130002023,481130013022,1108
1546,2018,8:0:00,481130002023,481130013023,1334
1547,2018,8:0:00,481130002023,481130014001,1019
1550,2018,8:0:00,481130002023,481130014004,1233
1551,2018,8:0:00,481130002023,481130015021,1611
1552,2018,8:0:00,481130002023,481130014003,888
1553,2018,8:0:00,481130002023,481130015044,1108
1554,2018,8:0:00,481130002023,481130015022,1630
1555,2018,8:0:00,481130002023,481130015023,1739
1557,2018,8:0:00,481130002023,481130015031,922
1558,2018,8:0:00,481130002023,481130015032,1079
1559,2018,8:0:00,481130002023,481130015033,1123
1560,2018,8:0:00,481130002023,481130015041,742
1561,2018,8:0:00,481130002023,481130015042,873
1562,2018,8:0:00,481130002023,481130015043,1075
1563,2018,8:0:00,481130002023,481130016001,1575
1564,2018,8:0:00,481130002023,481130079133,1132
1565,2018,8:0:00,481130002023,481130079141,834
1566,2018,8:0:00,481130002023,481130079142,844
1569,2018,8:0:00,481130002023,481130080003,1376
1571,2018,8:0:00,481130002023,481130080006,1408
1572,2018,8:0:00,481130002023,481130017011,1773
1576,2018,8:0:00,481130002023,481130016002,1783
1594,2018,8:0:00,481130002023,481130022001,1251
1595,2018,8:0:00,481130002023,481130022002,1734
1596,2018,8:0:00,481130002023,481130024001,1645
