,origin,Jobs,
405,4.81E+11,60268,0.314621618
406,4.81E+11,50871,0.266403909
407,4.81E+11,65675.5,0.344851586
408,4.81E+11,67268,0.354435828
409,4.81E+11,65422.5,0.345937996
410,4.81E+11,127074,0.674268428
411,4.81E+11,62611,0.334476024
412,4.81E+11,4976,0.026671643
413,4.81E+11,6178,0.033123266
414,4.81E+11,7044,0.037778827
415,4.81E+11,756,0.004056159
416,4.81E+11,8810,0.047270125
417,4.81E+11,12050,0.064684947
418,4.81E+11,4677.5,0.025125285
419,4.81E+11,6743,0.036229262
420,4.81E+11,8863,0.047637005
421,481130081004a,5611.5,0.030175161
422,481130081004b,11077,0.059583204
423,4.81E+11,3055.5,0.016445339
424,4.81E+11,8025.5,0.043202022
425,4.81E+11,12602,0.067867072
426,4.81E+11,8420,0.045376038
427,4.81E+11,22178.5,0.119575927
428,4.81E+11,4292,0.023168127
429,4.81E+11,7462,0.040289055
430,4.81E+11,4530,0.024468371
431,4.81E+11,6111.5,0.033018774
432,4.81E+11,15609,0.08435904
433,4.81E+11,5686,0.030756005
434,4.81E+11,16238,0.087859595
435,4.81E+11,11995,0.064958898
436,4.81E+11,12652,0.068561417
437,4.81E+11,14087,0.076390082
438,4.81E+11,23469,0.127363485
439,4.81E+11,2048,0.011128427
440,4.81E+11,3640.5,0.019783959
441,4.81E+11,2201,0.011963497
442,4.81E+11,1695,0.009214245
443,4.81E+11,2260.5,0.012289511
444,4.81E+11,1520.5,0.008267418
445,4.81E+11,1638.5,0.008909756
446,4.81E+11,2875,0.015634929
447,4.81E+11,7181,0.03905808
448,4.81E+11,2920.5,0.015891059
449,4.81E+11,2660,0.014475923
450,4.81E+11,2462,0.013400332
451,4.81E+11,3837,0.02088707
452,4.81E+11,1691.5,0.009209763
453,4.81E+11,3657,0.019913216
454,4.81E+11,3337,0.01817436
455,4.81E+11,6014,0.032760105
456,4.81E+11,6500.5,0.035421824
457,4.81E+11,5397.5,0.029421897
458,4.81E+11,2834.5,0.015455472
459,4.81E+11,3219,0.017554721
460,4.81E+11,14676.5,0.080051909
461,4.81E+11,3531.5,0.019277744
462,4.81E+11,2884.5,0.015748938
463,4.81E+11,2670,0.014580096
464,4.81E+11,7351.5,0.040150265
465,4.81E+11,10396.5,0.056803358
466,4.81E+11,20160,0.110210798
467,4.81E+11,4428,0.024233723
468,4.81E+11,21541,0.117918961
469,4.81E+11,25953,0.142238697
470,4.81E+11,8991,0.049346502
471,4.81E+11,23290.5,0.127891461
472,4.81E+11,17390,0.095613254
473,4.81E+11,17532,0.096486248
474,4.81E+11,20452.5,0.112667744
475,4.81E+11,20775.5,0.114576161
476,4.81E+11,1028,0.005675887
477,4.81E+11,2379.5,0.013138658
478,4.81E+11,3359,0.018549507
479,4.81E+11,13186,0.072830957
480,4.81E+11,1028,0.005682147
481,4.81E+11,3323,0.018368529
482,4.81E+11,13731.5,0.075917483
483,4.81E+11,4502.5,0.02491193
484,4.81E+11,4661.5,0.025798089
485,4.81E+11,3656.5,0.020241351
486,4.81E+11,2844,0.015746768
487,4.81E+11,3379,0.018711923
488,4.81E+11,1483.5,0.00821673
489,4.81E+11,3981.5,0.022054331
490,4.81E+11,3454.5,0.019139393
491,4.81E+11,4491,0.024886805
492,4.81E+11,2033,0.011268642
493,4.81E+11,4732.5,0.026234558
494,4.81E+11,485,0.002689297
495,4.81E+11,323,0.001791065
496,4.81E+11,405,0.002245803
497,4.81E+11,2763,0.015321708
498,4.81E+11,3055,0.016943536
499,4.81E+11,1852.5,0.010276013
500,4.81E+11,3058,0.016964792
501,4.81E+11,8072,0.044788437
502,4.81E+11,12204,0.067745664
503,4.81E+11,10054,0.055848627
504,4.81E+11,16617,0.092356796
505,4.81E+11,22346,0.12431322
506,4.81E+11,4713,0.026251564
507,4.81E+11,3838,0.021383399
508,4.81E+11,21728,0.121083341
509,4.81E+11,19089.5,0.106508771
510,4.81E+11,30750,0.171750793
511,481130096041a,40205,0.224947019
512,481130096041b,46851,0.262722382
513,4.81E+11,31512,0.177172644
514,4.81E+11,13694,0.077129614
515,4.81E+11,45884,0.258634944
516,4.81E+11,76366,0.431569422
517,4.81E+11,77546,0.44013749
