GeoId	0	Worker	state	county	tract	block group
481130190212	333	377	48	113	19021	2
481130190214	334	1032	48	113	19021	4
481130190215	335	366	48	113	19021	5
481130190211	336	669	48	113	19021	1
481130190213	337	629	48	113	19021	3
481130190271	338	595	48	113	19027	1
481130192031	339	540	48	113	19203	1
481130192032	340	410	48	113	19203	2
481130192034	341	394	48	113	19203	4
481130192033	342	585	48	113	19203	3
481130192061	343	1490	48	113	19206	1
481130192064	344	659	48	113	19206	4
481130192062	345	749	48	113	19206	2
481130192063	346	291	48	113	19206	3
481130192111	347	865	48	113	19211	1
481130192112	348	612	48	113	19211	2
481130192113	349	513	48	113	19211	3
481130042013	350	400	48	113	4201	3
481130042015	351	352	48	113	4201	5
481130042012	352	496	48	113	4201	2
481130042022	353	613	48	113	4202	2
481130042021	354	535	48	113	4202	1
481130042023	355	240	48	113	4202	3
481130048002	356	285	48	113	4800	2
481130048001	357	432	48	113	4800	1
481130048003	358	176	48	113	4800	3
481130048004	359	443	48	113	4800	4
481130049003	360	209	48	113	4900	3
481130049004	361	133	48	113	4900	4
481130049001	362	528	48	113	4900	1
481130049002	363	509	48	113	4900	2
481130055002	364	727	48	113	5500	2
481130055001	365	218	48	113	5500	1
481130055003	366	438	48	113	5500	3
481130055004	367	434	48	113	5500	4
481130059014	368	267	48	113	5901	4
481130059015	369	207	48	113	5901	5
481130059016	370	324	48	113	5901	6
481130059013	371	394	48	113	5901	3
481130059012	372	210	48	113	5901	2
481130059011	373	508	48	113	5901	1
481130060012	374	881	48	113	6001	2
481130060011	375	292	48	113	6001	1
481130060013	376	689	48	113	6001	3
481130063021	377	985	48	113	6302	1
481130190131	378	393	48	113	19013	1
481130190132	379	806	48	113	19013	2
481130190134	380	987	48	113	19013	4
481130190133	381	333	48	113	19013	3
481130191001	382	698	48	113	19100	1
481130191004	383	1030	48	113	19100	4
481130191002	384	528	48	113	19100	2
481130191005	385	386	48	113	19100	5
481130191003	386	971	48	113	19100	3
481130096111	387	769	48	113	9611	1
481130096112	388	819	48	113	9611	2
481130096113	389	533	48	113	9611	3
481130190363	390	530	48	113	19036	3
481130190361	391	363	48	113	19036	1
481130190362	392	782	48	113	19036	2
481130168042	393	1144	48	113	16804	2
481130168043	394	2090	48	113	16804	3
481130168041	395	1660	48	113	16804	1
481130182061	396	866	48	113	18206	1
481130182062	397	482	48	113	18206	2
481130182064	398	231	48	113	18206	4
481130182063	399	457	48	113	18206	3
481130092015	400	524	48	113	9201	5
481130092011	401	1021	48	113	9201	1
481130093031	402	579	48	113	9303	1
481130093032	403	574	48	113	9303	2
481130093033	404	595	48	113	9303	3
481130100001	405	1851	48	113	10000	1
481130100002	406	920	48	113	10000	2
481130101011	407	594	48	113	10101	1
481130101012	408	451	48	113	10101	2
481130101013	409	1016	48	113	10101	3
481130108033	410	660	48	113	10803	3
481130108032	411	375	48	113	10803	2
481130108035	412	1139	48	113	10803	5
481130108036	413	929	48	113	10803	6
481130108034	414	325	48	113	10803	4
481130108031	415	443	48	113	10803	1
481130110022	416	449	48	113	11002	2
481130110023	417	268	48	113	11002	3
481130110021	418	666	48	113	11002	1
481130111013	419	520	48	113	11101	3
481130111011	420	812	48	113	11101	1
481130111012	421	685	48	113	11101	2
481130141241	422	1384	48	113	14124	1
481130141242	423	760	48	113	14124	2
481130181042	424	2087	48	113	18104	2
481130181041	425	2243	48	113	18104	1
481130181201	426	1317	48	113	18120	1
481130181202	427	1393	48	113	18120	2
481130181233	428	895	48	113	18123	3
481130181232	429	1753	48	113	18123	2
481130181231	430	2424	48	113	18123	1
481130181244	431	661	48	113	18124	4
481130181241	432	3967	48	113	18124	1
481130063022	433	632	48	113	6302	2
481130063023	434	838	48	113	6302	3
481130068003	435	802	48	113	6800	3
481130068001	436	808	48	113	6800	1
481130068002	437	1332	48	113	6800	2
481130071022	438	530	48	113	7102	2
481130071021	439	835	48	113	7102	1
481130071025	440	504	48	113	7102	5
481130071024	441	870	48	113	7102	4
481130071023	442	391	48	113	7102	3
481130072013	443	1102	48	113	7201	3
481130072014	444	290	48	113	7201	4
481130072011	445	1150	48	113	7201	1
481130072015	446	1064	48	113	7201	5
481130072012	447	628	48	113	7201	2
481130078012	448	330	48	113	7801	2
481130078011	449	574	48	113	7801	1
481130081004	450	813	48	113	8100	4
481130081002	451	510	48	113	8100	2
481130081001	452	1062	48	113	8100	1
481130081003	453	845	48	113	8100	3
481130081005	454	534	48	113	8100	5
