0,workforce,state,county,tract,block group
759,424,48,113,009803,3
760,2923,48,113,010701,1
761,573,48,113,010701,2
762,1469,48,113,011602,3
763,1103,48,113,011602,1
764,1373,48,113,011602,2
765,745,48,113,011602,4
766,959,48,113,013607,1
767,516,48,113,013607,3
768,648,48,113,013607,2
769,729,48,113,013607,4
770,1417,48,113,011800,3
771,976,48,113,011800,1
772,353,48,113,006301,3
773,651,48,113,006301,5
774,722,48,113,006301,4
775,1196,48,113,006301,1
776,484,48,113,006301,2
777,925,48,113,006301,6
778,1787,48,113,006501,2
779,1669,48,113,006501,1
780,766,48,113,007301,1
781,651,48,113,007301,2
782,681,48,113,007302,2
783,708,48,113,007302,1
784,1075,48,113,007302,3
785,1166,48,113,007302,4
786,936,48,113,007604,3
787,884,48,113,007604,1
788,611,48,113,007604,2
789,883,48,113,007605,2
790,593,48,113,007605,1
791,1314,48,113,007811,1
792,1036,48,113,007811,2
793,659,48,113,007906,1
794,1281,48,113,007906,2
795,1038,48,113,016902,2
796,653,48,113,016902,3
797,3229,48,113,016902,1
798,1260,48,113,019208,2
799,1661,48,113,019208,3
800,1571,48,113,019208,1
801,932,48,113,019502,2
802,376,48,113,019502,1
803,1352,48,113,019502,3
804,592,48,113,019502,4
805,698,48,113,019700,2
806,740,48,113,019700,1
807,1058,48,113,017807,2
808,1146,48,113,017807,4
809,730,48,113,017807,1
810,1074,48,113,017807,3
811,656,48,113,017807,5
812,5595,48,113,018122,1
813,1024,48,113,001503,2
814,1186,48,113,001800,1
815,3729,48,113,001800,2
816,632,48,113,003700,3
817,268,48,113,003700,4
818,768,48,113,003700,1
819,869,48,113,003700,2
820,538,48,113,003800,3
821,798,48,113,003800,2
822,440,48,113,003800,1
823,1372,48,113,004500,4
824,333,48,113,004500,1
825,1520,48,113,004500,3
826,1496,48,113,004500,2
827,1726,48,113,016605,1
828,1231,48,113,016620,3
829,613,48,113,016620,1
830,2449,48,113,016620,2
831,1100,48,113,016705,3
832,2136,48,113,016705,1
