Aland	Awater	Blkgrpce	Countyfp	Funcstat	Geoid	Geometry	Intptlat	Intptlon	Mtfcc	Namelsad	Number of Records	Statefp	Tractce
269623	0	2	113	S	4.8113E+11	POLYGON	32.8221832	-96.7804084	G5030	Block Group 2	1	48	1001
233553	0	3	113	S	4.8113E+11	POLYGON	32.9426425	-96.9544576	G5030	Block Group 3	1	48	14127
92738	0	2	113	S	4.8113E+11	POLYGON	32.8731223	-96.756768	G5030	Block Group 2	1	48	7821
617152	0	3	113	S	4.8113E+11	POLYGON	32.581513	-96.8483801	G5030	Block Group 3	1	48	16611
733817	0	1	113	S	4.8113E+11	POLYGON	32.8239993	-96.9587276	G5030	Block Group 1	1	48	14502
533366	0	2	113	S	4.8113E+11	POLYGON	32.8248645	-96.9532421	G5030	Block Group 2	1	48	14502
630341	0	1	113	S	4.8113E+11	POLYGON	32.8332422	-96.9551228	G5030	Block Group 1	1	48	14601
215087	0	2	113	S	4.8113E+11	POLYGON	32.8350945	-96.9276766	G5030	Block Group 2	1	48	14701
373149	0	1	113	S	4.8113E+11	POLYGON	32.8331491	-96.932871	G5030	Block Group 1	1	48	14701
320382	0	3	113	S	4.8113E+11	POLYGON	32.7110488	-96.8368994	G5030	Block Group 3	1	48	6001
228633	0	4	113	S	4.8113E+11	POLYGON	32.8318852	-96.927053	G5030	Block Group 4	1	48	14701
323314	0	2	113	S	4.8113E+11	POLYGON	32.8335897	-97.0056151	G5030	Block Group 2	1	48	14407
964420	0	1	113	S	4.8113E+11	POLYGON	32.9050406	-96.6270558	G5030	Block Group 1	1	48	18204
678973	0	1	113	S	4.8113E+11	POLYGON	32.8852985	-96.6179651	G5030	Block Group 1	1	48	18205
551866	0	1	113	S	4.8113E+11	POLYGON	32.8877281	-96.6241905	G5030	Block Group 1	1	48	18206
451289	0	2	113	S	4.8113E+11	POLYGON	32.8896735	-96.6284672	G5030	Block Group 2	1	48	18206
362711	0	4	113	S	4.8113E+11	POLYGON	32.8761767	-96.6278458	G5030	Block Group 4	1	48	18206
807491	0	2	113	S	4.8113E+11	POLYGON	32.8910561	-96.6428042	G5030	Block Group 2	1	48	18300
1077424	0	3	113	S	4.8113E+11	POLYGON	32.8842986	-96.6522302	G5030	Block Group 3	1	48	18300
892965	0	5	113	S	4.8113E+11	POLYGON	32.8828385	-96.6429408	G5030	Block Group 5	1	48	18300
460141	0	1	113	S	4.8113E+11	POLYGON	32.8755876	-96.6518124	G5030	Block Group 1	1	48	18401
1568124	0	2	113	S	4.8113E+11	POLYGON	32.8706058	-96.6592241	G5030	Block Group 2	1	48	18401
430686	0	3	113	S	4.8113E+11	POLYGON	32.8679375	-96.6513793	G5030	Block Group 3	1	48	18401
464902	0	2	113	S	4.8113E+11	POLYGON	32.8752846	-96.6451616	G5030	Block Group 2	1	48	18402
567746	0	3	113	S	4.8113E+11	POLYGON	32.8667409	-96.6446606	G5030	Block Group 3	1	48	18402
836037	0	1	113	S	4.8113E+11	POLYGON	32.8611265	-96.6507495	G5030	Block Group 1	1	48	18403
14483232	197755	1	113	S	4.8113E+11	POLYGON	32.968828	-96.5600224	G5030	Block Group 1	1	48	18122
1710348	0	2	113	S	4.8113E+11	POLYGON	32.9778128	-96.5836305	G5030	Block Group 2	1	48	18122
3054835	0	3	113	S	4.8113E+11	POLYGON	32.9652286	-96.591479	G5030	Block Group 3	1	48	18122
6695934	0	1	113	S	4.8113E+11	POLYGON	32.9521847	-96.6046897	G5030	Block Group 1	1	48	18123
1050668	0	2	113	S	4.8113E+11	POLYGON	32.9397191	-96.6167975	G5030	Block Group 2	1	48	18123
1785798	0	2	113	S	4.8113E+11	POLYGON	32.9361888	-96.5266114	G5030	Block Group 2	1	48	18124
2962861	0	3	113	S	4.8113E+11	POLYGON	32.9234191	-96.5284	G5030	Block Group 3	1	48	18124
1055065	0	1	113	S	4.8113E+11	POLYGON	32.8574707	-96.6089342	G5030	Block Group 1	1	48	18128
516527	0	2	113	S	4.8113E+11	POLYGON	32.8524076	-96.6032917	G5030	Block Group 2	1	48	18128
378604	0	3	113	S	4.8113E+11	POLYGON	32.848232	-96.6016014	G5030	Block Group 3	1	48	18128
3110199	6135	1	113	S	4.8113E+11	POLYGON	32.8431024	-96.6101529	G5030	Block Group 1	1	48	18129
