"","w_geocode","Jobs"
"1023","481130170041",15
"1024","481130170042",424
"1025","481130170042",424
"1026","481130170043",14
"1027","481130171011",72
"1028","481130171011",72
"1029","481130171012",316
"1030","481130171012",316
"1031","481130171012",316
"1032","481130171021",22
"1033","481130171022",273
"1034","481130171022",273
"1035","481130176051",28
"1036","481130176051",28
"1037","481130176051",28
"1038","481130176051",28
"1039","481130176052",37
"1040","481130176052",37
"1041","481130185031",543
"1042","481130185032",49
"1043","481130185033",14
"1044","481130185051",35
"1045","481130185052",180
"1046","481130185061",28956
"1047","481130185062",132
"1048","481130190161",16
"1049","481130190161",16
"1050","481130190162",28
"1051","481130190162",28
"1052","481130190163",1407
"1053","481130190181",28
"1054","481130190181",28
"1055","481130190181",28
"1056","481130190182",93
"1057","481130190182",93
"1058","481130190183",10
"1059","481130190191",17
"1060","481130190192",1076
"1061","481130190194",7
"1062","481130190341",220
"1063","481130190341",220
"1064","481130190342",92
"1065","481130190352",629
"1066","481130190353",2532
"1067","481130192081",2359
"1068","481130192082",277
"1069","481130192083",4
"1070","481130192123",18
"1071","481130192131",257
"1072","481130192132",1544
"1073","481130192132",1544
"1074","481130202001",338
"1075","481130202001",338
"1076","481130202002",36
"1077","481130202003",128
"1078","481130203001",1893
"1079","481130203001",1893
"1080","481130203001",1893
"1081","481130203002",472
"1082","481130203002",472
"1083","481130203003",254
"1084","481130204001",3427
"1085","481130204002",9019
"1086","481130204002",9019
"1087","481130204002",9019
"1088","481130204003",16397
"1089","481130205001",3124
"1090","481130205002",794
"1091","481130206001",141
"1092","481130206001",141
"1093","481130206001",141
"1094","481130206002",459
"1095","481130206002",459
"1096","481130206002",459
"1097","481210216161",49
"1098","481210216163",39
"1099","481210216341",65
"1100","481210216342",9
"1101","481210216351",220
"1102","481210216352",99
"1103","481210216353",32
"1104","481210216361",77
"1105","481210216361",77
"1106","481210216362",103
"1107","481210216363",78
"1108","481210216363",78
"1109","481210216364",271
"1110","481210216365",3
"1111","481210216371",143
"1112","481210216371",143
"1113","481210216372",832
"1114","481210216372",832
"1115","481210216373",39
"1116","481210216381",52
"1117","481210216382",93
"1118","481210216382",93
